ts_unix_ns,portfolio,kol_name,token_address,token_symbol,bnb_in_wei,bnb_out_wei,pnl_wei,pnl_bnb,pnl_usd,pnl_pct,d_mcap_usd,our_entry_mcap_usd,bnb_usd_close,opened_at_block,closed_at_block,held_secs,buy_tx_count,close_reason,trigger_sell_tx,kol_exit_count,kol_exit_mcap_first_usd,kol_exit_mcap_last_usd,our_avg_exit_mcap_usd
1779412676411028461,fast_tip,O,0x08e7c69746f373d048c74ef32c2b542728464444,HONKE,35000000000000000,23531239455550763,-11468760544449237,-0.011469,-7.54,-0.327679,7978,8628,657.07,99683172,99683468,135,1,kol_sell,0xa4f10a178a0308d45dc63de560fbcac7b85fe01c0081fcafd58e0457a937e168,1,6466,6466,5803
1779412676411029461,normal_tip,O,0x08e7c69746f373d048c74ef32c2b542728464444,HONKE,35000000000000000,23997074031309594,-11002925968690406,-0.011003,-7.23,-0.314369,7978,8628,657.07,99683172,99683472,135,1,kol_sell,0xa4f10a178a0308d45dc63de560fbcac7b85fe01c0081fcafd58e0457a937e168,1,6466,6466,5918
1779416099978136338,fast_tip,D,0x46679e1703fb65f1d094baa4355b4b6513524444,BTTM,34500000000000000,63256689086448656,28756689086448656,0.028757,18.93,0.833527,4851,6643,658.35,99690769,99690796,13,1,kol_sell,0x9cc8f7084608f8bab931b4281646d8efe46ab1f8a0f115316d1b05d21452c30f,1,14364,14364,12180
1779416099978138608,normal_tip,D,0x46679e1703fb65f1d094baa4355b4b6513524444,BTTM,34500000000000000,69960753670692604,35460753670692604,0.035461,23.35,1.027848,4851,6643,658.35,99690769,99690800,13,1,kol_sell,0x9cc8f7084608f8bab931b4281646d8efe46ab1f8a0f115316d1b05d21452c30f,1,14364,14364,13471
1779416147804676113,normal_tip,O,0xe85a26035173ae3f6e5c761fc3961406a7874444,FISH2,35000000000000000,27867605268621191,-7132394731378809,-0.007132,-4.70,-0.203783,4557,4797,659.54,99690876,99690942,30,1,kol_sell,0x06dc8ed8f7105a841b56c707b7d2771ca8c9e78097c6626c0efa58668a4833c3,1,4152,4152,3820
1779416147804674593,fast_tip,O,0xe85a26035173ae3f6e5c761fc3961406a7874444,FISH2,35000000000000000,26512773189590683,-8487226810409317,-0.008487,-5.60,-0.242492,4557,4797,659.54,99690876,99690945,31,1,kol_sell,0x06dc8ed8f7105a841b56c707b7d2771ca8c9e78097c6626c0efa58668a4833c3,1,4152,4152,3634
1779416592006728408,normal_tip,O,0xc953a4716098e46c60707c9c17a8685c2cbc8390,Fish2,35000000000000000,69932597439266750,34932597439266750,0.034933,23.02,0.998074,10961,11538,658.93,99691862,99692155,133,1,kol_sell,0xe4f91762a35fc37465fcf613835a880713ac3a1115ae9894ce381ac53dcea3ed,1,24128,24128,23040
1779416592006727248,fast_tip,O,0xc953a4716098e46c60707c9c17a8685c2cbc8390,Fish2,35000000000000000,68664626255275357,33664626255275357,0.033665,22.18,0.961846,10961,11538,658.93,99691862,99692160,134,1,kol_sell,0xe4f91762a35fc37465fcf613835a880713ac3a1115ae9894ce381ac53dcea3ed,1,24128,24128,22622
1779417496763727461,fast_tip,C,0x2e0b6a74450aba9ba29c6f0ad7d9b4d666d34444,Satofishi,50000000000000000,57982693665438497,7982693665438497,0.007983,5.25,0.159654,12318,13297,658.16,99693869,99694077,95,1,kol_sell,0xd7d7e133a4da9666895b5c483f1ca667bde70bb54cca35212f9df6bad66353b9,1,16417,16417,15417
1779417496763728611,normal_tip,C,0x2e0b6a74450aba9ba29c6f0ad7d9b4d666d34444,Satofishi,50000000000000000,57744739951666770,7744739951666770,0.007745,5.10,0.154895,12318,13297,658.16,99693869,99694082,95,1,kol_sell,0xd7d7e133a4da9666895b5c483f1ca667bde70bb54cca35212f9df6bad66353b9,1,16417,16417,15354
1779417611743564043,normal_tip,O,0xc953a4716098e46c60707c9c17a8685c2cbc8390,Fish2,35000000000000000,33684222248372679,-1315777751627321,-0.001316,-0.87,-0.037594,34020,35810,658.54,99694125,99694317,88,1,kol_sell,0x17568faa5e0362f78fc74d54ca14c3d10ba6dd6859ebf56652fae0cb9a05761f,1,36686,36686,34484
1779417611743562734,fast_tip,O,0xc953a4716098e46c60707c9c17a8685c2cbc8390,Fish2,35000000000000000,33132613597286891,-1867386402713109,-0.001867,-1.23,-0.053354,34020,35810,658.54,99694125,99694322,89,1,kol_sell,0x17568faa5e0362f78fc74d54ca14c3d10ba6dd6859ebf56652fae0cb9a05761f,1,36686,36686,33919
1779421826647297715,normal_tip,C,0x40e16a05d6908f22c717ccef1df7b4aa5bd14444,BINANZE,33055500000000000,56202484086001440,23146984086001440,0.023147,15.26,0.700246,5585,6493,659.45,99703479,99703660,83,1,kol_sell,0x72bdd75520124c5e68fcf884ca8ea543d89834df6e6b1c4d1bb0c71fec9b127e,1,11188,11188,11038
1779421826647296445,fast_tip,C,0x40e16a05d6908f22c717ccef1df7b4aa5bd14444,BINANZE,33055500000000000,53208379785349714,20152879785349714,0.020153,13.29,0.609668,5585,6493,659.45,99703479,99703664,83,1,kol_sell,0x72bdd75520124c5e68fcf884ca8ea543d89834df6e6b1c4d1bb0c71fec9b127e,1,11188,11188,10450
1779415960337744007,normal_tip,O,0xa49a16b77d464cc22d06cdc1aef6ee6de4104444,satofishi,110000000000000000,479939809724718032,369939809724718032,0.369940,243.78,3.363089,15331,17037,658.98,99690459,99704281,6228,2,kol_sell,0x315aef167e0361db467d9ec1ac2534e32322b676ae2dace67a2ad9742ea056ce,1,205795,205795,201679
1779415960337742397,fast_tip,O,0xa49a16b77d464cc22d06cdc1aef6ee6de4104444,satofishi,110000000000000000,479939809724718032,369939809724718032,0.369940,243.78,3.363089,15331,17037,658.98,99690459,99704283,6228,2,kol_sell,0x315aef167e0361db467d9ec1ac2534e32322b676ae2dace67a2ad9742ea056ce,1,205795,205795,201679
1779422654858652204,normal_tip,D,0xe8b7b635c33bea2c9ea47ce63759bc16ed4d4444,V,34500000000000000,26990675634272972,-7509324365727028,-0.007509,-4.95,-0.217662,4739,7195,659.18,99705313,99705390,36,1,kol_sell,0x737faa55129f7ff375866959705adaac5934e73b33ffd4b9ce1811a8061320e3,1,5994,5994,5629
1779422654858651274,fast_tip,D,0xe8b7b635c33bea2c9ea47ce63759bc16ed4d4444,V,34500000000000000,26393411994342404,-8106588005657596,-0.008107,-5.34,-0.234974,4739,7195,659.18,99705313,99705394,36,1,kol_sell,0x737faa55129f7ff375866959705adaac5934e73b33ffd4b9ce1811a8061320e3,1,5994,5994,5505
1779424333522380596,normal_tip,O,0xf7ccbbde1c4c9b56e955ad18ba2c7aa2e18b4444,CZmoon,35000000000000000,31821845190431809,-3178154809568191,-0.003178,-2.09,-0.090804,28051,28190,658.59,99709040,99710085,471,1,kol_sell,0xcd54daae8e44f24be508467a0b95148bd51217e1cdf9c5f071057396a5f9625f,1,28312,28312,25627
1779424333522379246,fast_tip,O,0xf7ccbbde1c4c9b56e955ad18ba2c7aa2e18b4444,CZmoon,35000000000000000,31821845190431809,-3178154809568191,-0.003178,-2.09,-0.090804,28051,28190,658.59,99709040,99710087,472,1,kol_sell,0xcd54daae8e44f24be508467a0b95148bd51217e1cdf9c5f071057396a5f9625f,1,28312,28312,25627
1779424839749543816,fast_tip,D,0x076ffbc1be7a63897b3a051341fa9d9643034444,米饭,34500000000000000,45507591283369345,11007591283369345,0.011008,7.25,0.319061,6605,6953,658.52,99710163,99710197,16,1,kol_sell,0x7aa53b96687401a5851b36c58e624fb7f5306e5fb4d8e4b69cba8a0f64c60df2,1,9528,9528,9171
1779424839749545146,normal_tip,D,0x076ffbc1be7a63897b3a051341fa9d9643034444,米饭,34500000000000000,44004556841982487,9504556841982487,0.009505,6.26,0.275494,6605,6953,658.52,99710163,99710201,16,1,kol_sell,0x7aa53b96687401a5851b36c58e624fb7f5306e5fb4d8e4b69cba8a0f64c60df2,1,9528,9528,8868
1779425169525415972,normal_tip,D,0x1919d01184e0d7a3ff709d465e52c8bf85f54444,BNBSupreman,34500000000000000,37985969337673372,3485969337673372,0.003486,2.30,0.101043,5452,6058,658.43,99710895,99710927,15,1,kol_sell,0x58e00c0ed048949e4592bdf9126c6f5fe2718512dd8b22c129ca4da9530adc4b,1,7154,7154,6671
1779425169525414542,fast_tip,D,0x1919d01184e0d7a3ff709d465e52c8bf85f54444,BNBSupreman,34500000000000000,37791700767245075,3291700767245075,0.003292,2.17,0.095412,5452,6058,658.43,99710895,99710931,15,1,kol_sell,0x58e00c0ed048949e4592bdf9126c6f5fe2718512dd8b22c129ca4da9530adc4b,1,7154,7154,6636
1779425942533346025,normal_tip,D,0x4c376378757b519e63b967d8a35472176c9b4444,bnbaby,34500000000000000,44763269559373272,10263269559373272,0.010263,6.76,0.297486,5507,7637,658.35,99712610,99712641,15,1,kol_sell,0x1179fc94ade316924c73ef361619474724f7ea1a90679fdd7322d491e7c33f45,1,10782,10782,9909
1779425942533344465,fast_tip,D,0x4c376378757b519e63b967d8a35472176c9b4444,bnbaby,34500000000000000,45357071708285729,10857071708285729,0.010857,7.15,0.314698,5507,7637,658.35,99712610,99712645,15,1,kol_sell,0x1179fc94ade316924c73ef361619474724f7ea1a90679fdd7322d491e7c33f45,1,10782,10782,10041
1779426090562062939,fast_tip,O,0x1ea3ffc43ee291a4373418286e9b001aebe14444,🔶,125000000000000000,154799055212271661,29799055212271661,0.029799,19.60,0.238392,204723,205724,657.90,99712939,99712949,5,1,kol_sell,0x0d1ac0729b7ed91f58bf053de7e4bbeed2112328c45a2e8a7a4edb2de6794a3d,1,295008,295008,254767
1779426090562064929,normal_tip,O,0x1ea3ffc43ee291a4373418286e9b001aebe14444,🔶,125000000000000000,154799055212271661,29799055212271661,0.029799,19.60,0.238392,204723,205724,657.90,99712939,99712951,5,1,kol_sell,0x0d1ac0729b7ed91f58bf053de7e4bbeed2112328c45a2e8a7a4edb2de6794a3d,1,295008,295008,254767
1779426326608754158,fast_tip,D,0xb9fc18016b5214da5fa23ac62cd2f128744c4444,BNB徽章,34500000000000000,20799781942192620,-13700218057807380,-0.013700,-9.01,-0.397108,5936,6518,657.65,99713462,99713485,11,1,kol_sell,0x91187a1f6d920c173f376167270a7de7ea15e29701938c992a531e4c3a91f122,1,4561,4561,3930
1779426326608755398,normal_tip,D,0xb9fc18016b5214da5fa23ac62cd2f128744c4444,BNB徽章,34500000000000000,22018147308556127,-12481852691443873,-0.012482,-8.21,-0.361793,5936,6518,657.65,99713462,99713489,12,1,kol_sell,0x91187a1f6d920c173f376167270a7de7ea15e29701938c992a531e4c3a91f122,1,4561,4561,4160
1779426340807525424,normal_tip,O,0xa54ed35ef288568837c3e459932e9496ddea4444,🔶,35000000000000000,25908793394023663,-9091206605976337,-0.009091,-5.98,-0.259749,5107,5376,657.68,99713494,99713505,5,1,kol_sell,0xe7e23eb6c84687bb6f1914488fcc9f59d80679bfc249015de66610a27ddccafc,1,4336,4336,3979
1779426340807523844,fast_tip,O,0xa54ed35ef288568837c3e459932e9496ddea4444,🔶,35000000000000000,25908793394023663,-9091206605976337,-0.009091,-5.98,-0.259749,5107,5376,657.68,99713494,99713507,6,1,kol_sell,0xe7e23eb6c84687bb6f1914488fcc9f59d80679bfc249015de66610a27ddccafc,1,4336,4336,3979
1779427222340405314,normal_tip,D,0x3873a4b9a8a314c26fa4e9daf02f65e26f117777,FIGHT,75000000000000000,64251844828417079,-10748155171582921,-0.010748,-7.07,-0.143309,189170,190104,658.14,99715450,99715461,5,1,kol_sell,0x1fdd005e47c4c1b3e18b4095103a1ee11b645ef23358aed6ab03317e6b46b49a,1,187178,187178,162861
1779427222340404104,fast_tip,D,0x3873a4b9a8a314c26fa4e9daf02f65e26f117777,FIGHT,75000000000000000,64251844828417079,-10748155171582921,-0.010748,-7.07,-0.143309,189170,190104,658.14,99715450,99715463,6,1,kol_sell,0x1fdd005e47c4c1b3e18b4095103a1ee11b645ef23358aed6ab03317e6b46b49a,1,187178,187178,162861
1779427232269493571,normal_tip,D,0xe683a48df543d68ed96d53dd1fda73ccbd144444,Fight,75000000000000000,110533331418514486,35533331418514486,0.035533,23.39,0.473778,46548,46805,658.14,99715472,99715492,10,1,kol_sell,0xa3ed52ce3e74e49e5733d5d2aca95adf52e5b726a3dcfebf80263fa73ac5cea6,1,75160,75160,68981
1779427232269491981,fast_tip,D,0xe683a48df543d68ed96d53dd1fda73ccbd144444,Fight,75000000000000000,110533331418514486,35533331418514486,0.035533,23.39,0.473778,46548,46805,658.14,99715472,99715495,10,1,kol_sell,0xa3ed52ce3e74e49e5733d5d2aca95adf52e5b726a3dcfebf80263fa73ac5cea6,1,75160,75160,68981
1779427355549180783,normal_tip,D,0xe683a48df543d68ed96d53dd1fda73ccbd144444,Fight,34500000000000000,40292347485463703,5792347485463703,0.005792,3.81,0.167894,106441,106805,657.83,99715745,99715752,4,1,kol_sell,0xac2db735f247ce8029d4a063c2ac82d051c34cdbaa12b691dd14e3a05d5cc1d4,1,131533,131533,124737
1779427355549179753,fast_tip,D,0xe683a48df543d68ed96d53dd1fda73ccbd144444,Fight,34500000000000000,40292347485463703,5792347485463703,0.005792,3.81,0.167894,106441,106805,657.83,99715745,99715762,7,1,kol_sell,0xac2db735f247ce8029d4a063c2ac82d051c34cdbaa12b691dd14e3a05d5cc1d4,1,131533,131533,124737
1779428253132632961,normal_tip,D,0x3ce4fdbc1581d73c8594f724b6c4524df79a4444,Four life,69000000000000000,60841368373702011,-8158631626297989,-0.008159,-5.36,-0.118241,6312,12749,657.13,99717737,99717753,8,2,kol_sell,0x527518875c5e21a0cd1b2cb2c86c5a0515db0f27fed0bc22e72d1c3356274bdc,1,12586,12586,11242
1779428253132631682,fast_tip,D,0x3ce4fdbc1581d73c8594f724b6c4524df79a4444,Four life,69000000000000000,63797526543142067,-5202473456857933,-0.005202,-3.42,-0.075398,6312,12749,657.13,99717737,99717757,8,2,kol_sell,0x527518875c5e21a0cd1b2cb2c86c5a0515db0f27fed0bc22e72d1c3356274bdc,1,12586,12586,11788
1779428254335295458,fast_tip,D,0xd0b0d46a3b24d4be5df1d292bb0f76938ab54444,FOURLIFE,69000000000000000,43859976610889091,-25140023389110909,-0.025140,-16.52,-0.364348,9885,10406,657.13,99717740,99717769,14,2,kol_sell,0x16b5e2fb506dc37fe024d5cbdd543285f969834cbc4652b386077f8f22e08324,1,6386,6386,5943
1779428254335297068,normal_tip,D,0xd0b0d46a3b24d4be5df1d292bb0f76938ab54444,FOURLIFE,69000000000000000,43859976610889091,-25140023389110909,-0.025140,-16.52,-0.364348,9885,10406,657.13,99717740,99717772,14,2,kol_sell,0x16b5e2fb506dc37fe024d5cbdd543285f969834cbc4652b386077f8f22e08324,1,6386,6386,5943
1779428272322699157,fast_tip,D,0x7db18ed6d28692fc6023df7343d2fca726924444,Four life,34500000000000000,66102285698694879,31602285698694879,0.031602,20.77,0.916008,4961,5486,657.18,99717780,99717801,10,1,kol_sell,0x06e60aa2e8589a131122392640589002e76d85daada26a09f4a34b0c50363efd,1,11218,11218,10512
1779428272322700457,normal_tip,D,0x7db18ed6d28692fc6023df7343d2fca726924444,Four life,34500000000000000,66102285698694879,31602285698694879,0.031602,20.77,0.916008,4961,5486,657.18,99717780,99717805,11,1,kol_sell,0x06e60aa2e8589a131122392640589002e76d85daada26a09f4a34b0c50363efd,1,11218,11218,10512
1779429716182095747,normal_tip,D,0x704470092a035cfe490c8aa008367f94ab354444,人生巅峰,34500000000000000,15920937436565063,-18579062563434937,-0.018579,-12.19,-0.538524,8825,15194,656.32,99720982,99720992,5,1,kol_sell,0x2abc8ca276562143eb62fb82640b92d6b97e28c9cb717f7338cd48269708b561,1,7804,7804,7011
1779429716182060908,fast_tip,D,0x704470092a035cfe490c8aa008367f94ab354444,人生巅峰,34500000000000000,15920937436565063,-18579062563434937,-0.018579,-12.19,-0.538524,8825,15194,656.32,99720982,99720996,6,1,kol_sell,0x2abc8ca276562143eb62fb82640b92d6b97e28c9cb717f7338cd48269708b561,1,7804,7804,7011
1779429726630997554,normal_tip,D,0x95bba677f5c71b6ec3fba5a0512b72738dce4444,人生巅峰,69000000000000000,40830367028172284,-28169632971827716,-0.028170,-18.49,-0.408256,5447,5734,656.32,99721006,99721025,9,2,kol_sell,0x78e68a21e1baa74bc6737b9e1b2252d33614ee9fb2bbbafd14ec3cdd89e4231e,1,4430,4430,4116
1779429726630996014,fast_tip,D,0x95bba677f5c71b6ec3fba5a0512b72738dce4444,人生巅峰,69000000000000000,40830367028172284,-28169632971827716,-0.028170,-18.49,-0.408256,5447,5734,656.32,99721006,99721028,9,2,kol_sell,0x78e68a21e1baa74bc6737b9e1b2252d33614ee9fb2bbbafd14ec3cdd89e4231e,1,4430,4430,4116
1779429753663820667,normal_tip,G,0x6f88536bb761858060c386415f2c7dd8ea0e4444,巅峰时刻,50000000000000000,45312659671907235,-4687340328092765,-0.004687,-3.08,-0.093747,5586,5880,656.57,99721066,99721082,8,1,kol_sell,0xe4590368a02379828ea536dd94e69604b300f9eb2a5e20cbd07032bb0b2994aa,1,5722,5722,5329
1779429753663819097,fast_tip,G,0x6f88536bb761858060c386415f2c7dd8ea0e4444,巅峰时刻,50000000000000000,45312659671907235,-4687340328092765,-0.004687,-3.08,-0.093747,5586,5880,656.57,99721066,99721084,8,1,kol_sell,0xe4590368a02379828ea536dd94e69604b300f9eb2a5e20cbd07032bb0b2994aa,1,5722,5722,5329
1779431950623025736,normal_tip,D,0x29789b64862da90200a6aba43743f50292444444,安安,34500000000000000,31587296114452076,-2912703885547924,-0.002913,-1.91,-0.084426,6620,15837,655.75,99725940,99725951,6,1,kol_sell,0x993dc77e97009006932101514fbab19f59eb7a0e92c03ee4267b65d6c1fafb96,1,15705,15705,14500
