ts_unix_ns,portfolio,kol_name,token_address,token_symbol,bnb_in_wei,bnb_out_wei,pnl_wei,pnl_bnb,pnl_usd,pnl_pct,d_mcap_usd,our_entry_mcap_usd,bnb_usd_close,opened_at_block,closed_at_block,held_secs,buy_tx_count,close_reason,trigger_sell_tx,kol_exit_count,kol_exit_mcap_first_usd,kol_exit_mcap_last_usd,our_avg_exit_mcap_usd
1779001720928371533,fast_tip,D,0x171a0a7ca332ecefed026668bf9ba380c3694444,VideoTutor,34500000000000000,41141733791043336,6641733791043332,0.006642,4.35,0.192514,4085,5598,654.95,98771358,98771399,18,1,kol_sell,0x6c12a02f710457cc2ae87cebe3e0e889e7ae97c60019de159db190379196b7e0,3,8359,5752,6675
1779001720928373463,normal_tip,D,0x171a0a7ca332ecefed026668bf9ba380c3694444,VideoTutor,34500000000000000,41141733791043336,6641733791043332,0.006642,4.35,0.192514,4085,5598,654.95,98771358,98771399,18,1,kol_sell,0x6c12a02f710457cc2ae87cebe3e0e889e7ae97c60019de159db190379196b7e0,3,8359,5752,6675
1779038658580483683,fast_tip,D,0x9df4d6fbb7b504b0346119fdaf78aa1950204444,豆豆,34500000000000000,34808734370883048,308734370883044,0.000309,0.20,0.008949,20689,24563,642.11,98786855,98941612,39761,1,timeout,0x92bd55612135e40b5d9883e69db0663ae93db429b00ceb227d47bbec0a229f2d,0,24783,24783,24783
1779038658580485243,normal_tip,D,0x9df4d6fbb7b504b0346119fdaf78aa1950204444,豆豆,34500000000000000,34808734370883048,308734370883044,0.000309,0.20,0.008949,20689,24563,642.11,98786855,98941613,39761,1,timeout,0x92bd55612135e40b5d9883e69db0663ae93db429b00ceb227d47bbec0a229f2d,0,24783,24783,24783
1779111555853543555,normal_tip,D,0x78df06c3c48c63e1fa51e9223efc004f8e844444,王福满,34500000000000000,33086677632977512,-1413322367022490,-0.001413,-0.90,-0.040966,14998,19509,639.19,99015138,99015393,115,1,kol_sell,0x500a881563a461ddaf43e2cc20471cd2734b43e40a2eddcb00aa38421ec051bc,2,22996,15470,18709
1779111555853542345,fast_tip,D,0x78df06c3c48c63e1fa51e9223efc004f8e844444,王福满,34500000000000000,33086677632977512,-1413322367022490,-0.001413,-0.90,-0.040966,14998,19509,639.19,99015138,99015395,115,1,kol_sell,0x500a881563a461ddaf43e2cc20471cd2734b43e40a2eddcb00aa38421ec051bc,2,22996,15470,18709
1779195803298607939,normal_tip,D,0xb1967fbac43c6e2473ff4e0763fc98d8d5c54444,CI,34500000000000000,18222744122259724,-16277255877740278,-0.016277,-10.44,-0.471805,5846,8742,641.18,99202027,99202072,21,1,kol_sell,0x7ca453bd800400e1304aac30b2e96817ebe48b3ce92d8e99af695646a0d6a8e2,1,5087,5087,4618
1779195803298605869,fast_tip,D,0xb1967fbac43c6e2473ff4e0763fc98d8d5c54444,CI,34500000000000000,18222744122259724,-16277255877740278,-0.016277,-10.44,-0.471805,5846,8742,641.18,99202027,99202074,21,1,kol_sell,0x7ca453bd800400e1304aac30b2e96817ebe48b3ce92d8e99af695646a0d6a8e2,1,5087,5087,4618
1779198537921332252,normal_tip,D,0xd3b00734a001ff3c1b73d9eed007b7c6fdfe7777,积木,34500000000000000,932387487464645,-33567612512535360,-0.033568,-21.49,-0.972974,13691,15166,640.22,99208092,99208169,35,1,kol_sell,0x927b3a26af3e04d4c8e9ad6f145288db55a6a2c21d42e5696de4c13963798240,1,410,410,410
1779198537921330632,fast_tip,D,0xd3b00734a001ff3c1b73d9eed007b7c6fdfe7777,积木,34500000000000000,932387487464645,-33567612512535360,-0.033568,-21.49,-0.972974,13691,15166,640.22,99208092,99208171,35,1,kol_sell,0x927b3a26af3e04d4c8e9ad6f145288db55a6a2c21d42e5696de4c13963798240,1,410,410,410
1779247525353980069,normal_tip,G,0xba7d06d5dae243a9d680ec57269040bf15f34444,币安表白室,75000000000000000,48363623746216384,-26636376253783616,-0.026636,-17.01,-0.355152,5473,6648,638.65,99316837,99316947,49,1,kol_sell,0xc22cfa812875753b5a6c7a668db8cfdc421bea147a94f6c741091c60c4065257,2,4668,3906,4287
1779247525353978959,fast_tip,G,0xba7d06d5dae243a9d680ec57269040bf15f34444,币安表白室,75000000000000000,48363623746216384,-26636376253783616,-0.026636,-17.01,-0.355152,5473,6648,638.65,99316837,99316947,49,1,kol_sell,0xc22cfa812875753b5a6c7a668db8cfdc421bea147a94f6c741091c60c4065257,2,4668,3906,4287
1779249997879695643,normal_tip,D,0x3e6ca7a0b74cf139048c74278082cf7470cd4444,一日不见如隔三秋,34500000000000000,40096884697762832,5596884697762830,0.005597,3.58,0.162229,8314,10347,639.94,99322326,99322378,24,1,kol_sell,0xf7d31ba08b473e8dcb39bfa114ed88b77b54cfa5faa6a42dcbd3a555b8755642,2,14794,11518,12026
1779249997879693893,fast_tip,D,0x3e6ca7a0b74cf139048c74278082cf7470cd4444,一日不见如隔三秋,34500000000000000,40096884697762832,5596884697762830,0.005597,3.58,0.162229,8314,10347,639.94,99322326,99322379,24,1,kol_sell,0xf7d31ba08b473e8dcb39bfa114ed88b77b54cfa5faa6a42dcbd3a555b8755642,2,14794,11518,12026
1779256923105978507,fast_tip,K,0x7e7a0528f5130609ca5082fa4957c1a5a0ce4444,drawance,40000000000000000,29058527250839480,-10941472749160522,-0.010941,-7.02,-0.273537,4766,5896,641.88,99337694,99337738,20,1,kol_sell,0xf052239ae21d841445041b5d9a9129bc0c4604a7b2d97aa8d3a89beec42001e2,1,4851,4851,4283
1779256923105980657,normal_tip,K,0x7e7a0528f5130609ca5082fa4957c1a5a0ce4444,drawance,40000000000000000,29058527250839480,-10941472749160522,-0.010941,-7.02,-0.273537,4766,5896,641.88,99337694,99337740,20,1,kol_sell,0xf052239ae21d841445041b5d9a9129bc0c4604a7b2d97aa8d3a89beec42001e2,1,4851,4851,4283
1779256932918539564,normal_tip,C,0xea26a9b57b33e6f2b11f07102da89b6127554444,BUNANCE,100000000000000000,79858519103017632,-20141480896982368,-0.020141,-12.93,-0.201415,46420,49576,641.93,99337716,99337749,15,2,kol_sell,0x2acd1b85b9b63b7f2b56775db71891fcef2bc65ef5b13b222c4c84686317591a,2,33908,32943,39591
1779256932918538144,fast_tip,C,0xea26a9b57b33e6f2b11f07102da89b6127554444,BUNANCE,100000000000000000,79858519103017632,-20141480896982368,-0.020141,-12.93,-0.201415,46420,49576,641.93,99337716,99337751,16,2,kol_sell,0x2acd1b85b9b63b7f2b56775db71891fcef2bc65ef5b13b222c4c84686317591a,2,33908,32943,39591
1779256954208996473,fast_tip,O,0x1b4466cfcd321d34adc1fa71c21792db00e04444,bunance,35000000000000000,32657929410844900,-2342070589155101,-0.002342,-1.50,-0.066916,4712,5171,641.93,99337763,99337785,10,1,kol_sell,0xfe4978cb0914b2f35dc6a6d3fbf9bf71564177d7db5a5b8b63451cfa8c3a6978,2,6089,3904,4825
1779256954208998323,normal_tip,O,0x1b4466cfcd321d34adc1fa71c21792db00e04444,bunance,35000000000000000,32657929410844900,-2342070589155101,-0.002342,-1.50,-0.066916,4712,5171,641.93,99337763,99337787,11,1,kol_sell,0xfe4978cb0914b2f35dc6a6d3fbf9bf71564177d7db5a5b8b63451cfa8c3a6978,2,6089,3904,4825
1779256918954798025,fast_tip,O,0xea26a9b57b33e6f2b11f07102da89b6127554444,BUNANCE,35000000000000000,27321986270670452,-7678013729329553,-0.007678,-4.93,-0.219372,29925,35100,642.25,99337684,99337863,81,1,kol_sell,0x3566630031bb2d82851bf80cec4f3170e3daf1a94eff054dbca7f86577be150b,1,27400,27400,27400
1779256918954799675,normal_tip,O,0xea26a9b57b33e6f2b11f07102da89b6127554444,BUNANCE,35000000000000000,27321986270670452,-7678013729329553,-0.007678,-4.93,-0.219372,29925,35100,642.25,99337684,99337865,81,1,kol_sell,0x3566630031bb2d82851bf80cec4f3170e3daf1a94eff054dbca7f86577be150b,1,27400,27400,27400
1779258191072394914,fast_tip,O,0xf348d8df614f614eb07f8ae3572ab50727324444,HookSummer,35000000000000000,39883992011369304,4883992011369298,0.004884,3.13,0.139543,8196,9763,641.59,99340508,99340545,17,1,kol_sell,0xc636141811ae68e4c3460c0fcec6ed062014c18569cade20d12081d727d331c0,4,12495,6859,11126
1779258191072396534,normal_tip,O,0xf348d8df614f614eb07f8ae3572ab50727324444,HookSummer,35000000000000000,39883992011369304,4883992011369298,0.004884,3.13,0.139543,8196,9763,641.59,99340508,99340547,17,1,kol_sell,0xc636141811ae68e4c3460c0fcec6ed062014c18569cade20d12081d727d331c0,4,12495,6859,11126
1779259124584721399,normal_tip,O,0xf5f3c1c666421cb90678658516d1814346ec4444,薯比,35000000000000000,31880653786562436,-3119346213437568,-0.003119,-2.00,-0.089124,5400,6028,641.76,99342577,99342837,118,1,kol_sell,0x56e5d1ca46668d115cf3b2c6d1652f3d2acf69d9c479d6cc04089adf752fead8,2,6927,4181,5491
1779259124584705029,fast_tip,O,0xf5f3c1c666421cb90678658516d1814346ec4444,薯比,35000000000000000,31880653786562436,-3119346213437568,-0.003119,-2.00,-0.089124,5400,6028,641.76,99342577,99342839,118,1,kol_sell,0x56e5d1ca46668d115cf3b2c6d1652f3d2acf69d9c479d6cc04089adf752fead8,2,6927,4181,5491
1779265088248971336,normal_tip,D,0x2c8132611b9430e6d2287eb663129d94660a4444,CZ,34500000000000000,37090110662167416,2590110662167411,0.002590,1.67,0.075076,4836,5828,643.24,99355813,99355846,15,1,kol_sell,0xfd469a083238f402b50a0c99012e9c6a0c3c66e71f513cf573889ae8950f1a69,2,7685,5447,6266
1779265088248969676,fast_tip,D,0x2c8132611b9430e6d2287eb663129d94660a4444,CZ,34500000000000000,37090110662167416,2590110662167411,0.002590,1.67,0.075076,4836,5828,643.24,99355813,99355847,15,1,kol_sell,0xfd469a083238f402b50a0c99012e9c6a0c3c66e71f513cf573889ae8950f1a69,2,7685,5447,6266
1779265113000237577,fast_tip,D,0x8c64081aefad814b33ba3edd223017e807ad4444,CZ,34500000000000000,19246657420720724,-15253342579279280,-0.015253,-9.81,-0.442126,4707,7109,643.18,99355868,99355935,30,1,kol_sell,0x1c180c5372341866547bae2e5d38878944a003c94d435130fa7ad8c159bc5c6e,1,3966,3966,3966
1779265113000238997,normal_tip,D,0x8c64081aefad814b33ba3edd223017e807ad4444,CZ,34500000000000000,19246657420720724,-15253342579279280,-0.015253,-9.81,-0.442126,4707,7109,643.18,99355868,99355937,31,1,kol_sell,0x1c180c5372341866547bae2e5d38878944a003c94d435130fa7ad8c159bc5c6e,1,3966,3966,3966
1779265563571343039,fast_tip,D,0xa973d0662abe20224a4ca448c678412ebd904444,memes拯救世界,34500000000000000,42383006313287944,7883006313287942,0.007883,5.07,0.228493,5142,6257,643.40,99356868,99356920,24,1,kol_sell,0x549e1522ddae676fc81a235f6bf8a51cac93152ff36cba75a3a828e5fc764e37,2,8197,6778,7687
1779265563571344409,normal_tip,D,0xa973d0662abe20224a4ca448c678412ebd904444,memes拯救世界,34500000000000000,42383006313287944,7883006313287942,0.007883,5.07,0.228493,5142,6257,643.40,99356868,99356922,24,1,kol_sell,0x549e1522ddae676fc81a235f6bf8a51cac93152ff36cba75a3a828e5fc764e37,2,8197,6778,7687
1779268397119641930,fast_tip,O,0x18d7f99bf17d4c97f05e20e4d66f18c11eff4444,BPUNK,35000000000000000,51759190054616672,16759190054616666,0.016759,10.78,0.478834,11468,11893,643.26,99363156,99363749,267,1,kol_sell,0xd8714c0aee8cf2c9cb3a3d1128adfef73c15d78efef1663b4666f74280888621,2,20714,12381,17588
1779268397119643860,normal_tip,O,0x18d7f99bf17d4c97f05e20e4d66f18c11eff4444,BPUNK,35000000000000000,51759190054616672,16759190054616666,0.016759,10.78,0.478834,11468,11893,643.26,99363156,99363751,268,1,kol_sell,0xd8714c0aee8cf2c9cb3a3d1128adfef73c15d78efef1663b4666f74280888621,2,20714,12381,17588
1779269462861620190,normal_tip,D,0xbd1d873241c33fb325635f78c187918c6cb74444,不讲不讲,75000000000000000,71472965855831312,-3527034144168689,-0.003527,-2.27,-0.047027,4700,6133,644.19,99365522,99365535,6,1,kol_sell,0xd7966226c4d748d11344341417c84d04c2f1cbe345e572f493fbb119b31b9bd6,3,6573,4889,5845
1779269462861618780,fast_tip,D,0xbd1d873241c33fb325635f78c187918c6cb74444,不讲不讲,75000000000000000,71472965855831312,-3527034144168689,-0.003527,-2.27,-0.047027,4700,6133,644.19,99365522,99365536,6,1,kol_sell,0xd7966226c4d748d11344341417c84d04c2f1cbe345e572f493fbb119b31b9bd6,3,6573,4889,5845
1779270476121798296,fast_tip,D,0x63af4b584f150a204e2642c1b8ea248caa5d4444,中指红狗,34500000000000000,44546870899852600,10046870899852594,0.010047,6.46,0.291214,6502,8859,643.42,99367769,99367805,16,1,kol_sell,0xbac357bfa029b00485cce363105fe4054d357886113ec571036f6d5f7f910611,2,9684,13443,11439
1779270476121800266,normal_tip,D,0x63af4b584f150a204e2642c1b8ea248caa5d4444,中指红狗,34500000000000000,44546870899852600,10046870899852594,0.010047,6.46,0.291214,6502,8859,643.42,99367769,99367807,16,1,kol_sell,0xbac357bfa029b00485cce363105fe4054d357886113ec571036f6d5f7f910611,2,9684,13443,11439
1779270761259114219,fast_tip,D,0x539cd616d4e7ec2de24b7d1df65724fe11404444,丫够燥的,75000000000000000,49893458431116344,-25106541568883652,-0.025107,-16.16,-0.334754,21323,25951,643.73,99368403,99368459,25,1,kol_sell,0x00e340113a9af106b357e120a4f1c2aaeb0215a9432917e6b0b4f325803b0afa,1,19130,19130,17264
1779270761259116079,normal_tip,D,0x539cd616d4e7ec2de24b7d1df65724fe11404444,丫够燥的,75000000000000000,49893458431116344,-25106541568883652,-0.025107,-16.16,-0.334754,21323,25951,643.73,99368403,99368460,25,1,kol_sell,0x00e340113a9af106b357e120a4f1c2aaeb0215a9432917e6b0b4f325803b0afa,1,19130,19130,17264
1779271895998577950,fast_tip,O,0x4fb60e7a62745dccb2e155035eb22811b4be4444,HELLGRIND,35000000000000000,29494037732595796,-5505962267404206,-0.005506,-3.54,-0.157313,10695,12064,643.18,99370920,99370943,11,1,kol_sell,0x6a35cefadee8de52aa7c759675e0cf574feca0a7bbee99bab3a4c7d5022c0515,2,14707,6496,10166
1779271895998578980,normal_tip,O,0x4fb60e7a62745dccb2e155035eb22811b4be4444,HELLGRIND,35000000000000000,29494037732595796,-5505962267404206,-0.005506,-3.54,-0.157313,10695,12064,643.18,99370920,99370945,11,1,kol_sell,0x6a35cefadee8de52aa7c759675e0cf574feca0a7bbee99bab3a4c7d5022c0515,2,14707,6496,10166
1779271882080543486,fast_tip,D,0x4fb60e7a62745dccb2e155035eb22811b4be4444,HELLGRIND,34500000000000000,29239584802800188,-5260415197199816,-0.005260,-3.38,-0.152476,7072,10292,643.18,99370888,99370951,28,1,kol_sell,0x09ff69bc760f133a5fbddcfbb1ed3c54c251b71ea5d872ca02a1139b96049b09,2,13222,4438,8723
1779271882080545666,normal_tip,D,0x4fb60e7a62745dccb2e155035eb22811b4be4444,HELLGRIND,34500000000000000,29239584802800188,-5260415197199816,-0.005260,-3.38,-0.152476,7072,10292,643.18,99370888,99370952,28,1,kol_sell,0x09ff69bc760f133a5fbddcfbb1ed3c54c251b71ea5d872ca02a1139b96049b09,2,13222,4438,8723
1779272441832143095,fast_tip,D,0x2723999a5d2a9a757a19d189cc5ce6f24fe54444,Kodex,34500000000000000,25330232166085884,-9169767833914118,-0.009170,-5.90,-0.265790,4496,5555,643.77,99372131,99372177,21,1,kol_sell,0x007e7fe7e3cc0bf88362dd7da9f26a31177805d52f415eacdef0c30bb927db7d,2,4655,3971,4079
1779272441832148195,normal_tip,D,0x2723999a5d2a9a757a19d189cc5ce6f24fe54444,Kodex,34500000000000000,25330232166085884,-9169767833914118,-0.009170,-5.90,-0.265790,4496,5555,643.77,99372131,99372179,21,1,kol_sell,0x007e7fe7e3cc0bf88362dd7da9f26a31177805d52f415eacdef0c30bb927db7d,2,4655,3971,4079
1779272487360201122,fast_tip,O,0xcf33272240dcb2b4a4171931fd1c59fdaf324444,HS,35000000000000000,31285317728883556,-3714682271116445,-0.003715,-2.39,-0.106134,5615,6189,643.91,99372232,99372252,10,1,kol_sell,0xc08da4a88c8eebbc636cacfcb60f66015f60294dcd68cbcbe98df1a607b794f7,2,6541,5038,5532
1779272487360203012,normal_tip,O,0xcf33272240dcb2b4a4171931fd1c59fdaf324444,HS,35000000000000000,31285317728883556,-3714682271116445,-0.003715,-2.39,-0.106134,5615,6189,643.91,99372232,99372254,10,1,kol_sell,0xc08da4a88c8eebbc636cacfcb60f66015f60294dcd68cbcbe98df1a607b794f7,2,6541,5038,5532
